L_anypoint_x,L_anypoint_y,R_anypoint_x,R_anypoint_y,Confidence
1148.000,1036.000,1068.643,1051.182,0.978
972.000,1108.000,882.579,1122.975,0.978
328.000,578.000,128.320,594.757,0.978
916.000,522.000,891.559,536.396,0.978
256.000,544.000,41.950,561.001,0.978
240.000,578.000,23.306,593.191,0.978
908.000,514.000,884.586,529.300,0.978
504.000,762.000,343.610,778.501,0.978
1116.000,1188.000,1042.549,1203.000,0.978
1084.000,1244.000,995.016,1259.937,0.978
884.000,1020.000,781.408,1035.279,0.978
1276.000,450.000,1250.783,465.168,0.978
496.000,834.000,335.247,849.776,0.978
1260.000,714.000,1242.771,730.132,0.978
432.000,666.000,256.316,682.759,0.978
1116.000,1164.000,1042.555,1180.047,0.978
884.000,472.000,860.388,489.519,0.978
708.000,1020.000,587.393,1034.520,0.978
536.000,858.000,382.027,872.701,0.978
1220.000,1252.000,1139.203,1266.959,0.978
1116.000,1180.000,1044.365,1194.820,0.978
1720.000,674.000,1689.307,691.079,0.978
1132.000,1052.000,1052.527,1067.170,0.978
264.000,850.000,48.352,865.673,0.978
1180.000,1180.000,1107.190,1195.374,0.978
1188.000,1156.000,1115.499,1170.858,0.977
996.000,1180.000,923.004,1194.529,0.977
1260.000,722.000,1242.724,737.759,0.977
1212.000,1236.000,1129.730,1250.440,0.977
328.000,570.000,128.216,586.651,0.977
1156.000,1292.000,1061.441,1307.436,0.977
432.000,722.000,257.376,737.240,0.977
860.000,770.000,755.508,784.940,0.977
1180.000,1196.000,1106.336,1211.246,0.977
608.000,512.000,471.879,529.171,0.977
884.000,882.000,781.177,898.196,0.977
2444.000,938.000,2252.357,954.236,0.977
264.000,874.000,49.289,888.495,0.977
472.000,786.000,304.946,800.912,0.977
1196.000,1116.000,1157.747,1131.132,0.977
1012.000,1156.000,940.461,1172.286,0.977
996.000,1196.000,924.824,1210.128,0.977
1440.000,778.000,1421.976,793.899,0.977
1260.000,552.000,1237.792,569.225,0.976
1228.000,1228.000,1148.435,1242.593,0.976
1156.000,1036.000,1076.947,1051.286,0.976
504.000,666.000,345.538,682.471,0.976
1252.000,762.000,1234.913,777.470,0.976
696.000,826.000,576.342,841.145,0.976
1592.000,544.000,1568.232,559.173,0.976
1584.000,762.000,1559.045,775.380,0.976
280.000,472.000,71.716,489.775,0.976
836.000,1212.000,730.342,1227.310,0.976
368.000,746.000,175.470,762.159,0.976
1376.000,938.000,1360.038,951.791,0.976
304.000,842.000,96.039,858.062,0.976
1276.000,730.000,1258.420,745.570,0.976
1408.000,1052.000,1391.762,1067.709,0.976
1408.000,1004.000,1391.269,1017.526,0.976
368.000,738.000,175.277,755.227,0.976
860.000,1132.000,765.081,1148.700,0.975
2276.000,352.000,2090.879,369.128,0.975
1244.000,1180.000,1172.556,1193.994,0.975
876.000,996.000,771.442,1010.587,0.975
1632.000,48.000,1589.697,73.762,0.975
1004.000,1212.000,929.875,1226.015,0.975
1068.000,634.000,1043.954,648.996,0.975
1440.000,1140.000,1422.579,1153.987,0.975
2292.000,344.000,2110.177,360.959,0.975
1124.000,1228.000,1036.870,1243.768,0.975
876.000,634.000,772.199,649.682,0.975
1576.000,722.000,1551.461,737.083,0.975
1720.000,1044.000,1689.471,1057.901,0.975
368.000,826.000,177.088,841.487,0.975
1068.000,642.000,1043.416,657.574,0.975
432.000,682.000,254.095,696.338,0.975
616.000,890.000,479.799,905.068,0.975
1124.000,594.000,1107.378,610.665,0.975
1140.000,1052.000,1061.082,1067.418,0.975
724.000,858.000,605.014,873.035,0.974
696.000,842.000,576.917,858.172,0.974
1156.000,1156.000,1083.862,1171.407,0.974
1220.000,1244.000,1138.204,1257.618,0.974
1036.000,1212.000,962.800,1227.656,0.974
1148.000,1044.000,1068.682,1059.405,0.974
1408.000,826.000,1391.728,842.963,0.974
320.000,570.000,120.397,586.823,0.974
1060.000,1172.000,987.547,1187.090,0.974
640.000,666.000,512.575,681.167,0.974
868.000,738.000,764.364,753.706,0.974
296.000,464.000,88.952,481.269,0.974
868.000,1004.000,765.015,1018.582,0.974
2468.000,1044.000,2268.793,1058.390,0.974
868.000,466.000,842.890,482.216,0.974
1448.000,1156.000,1430.262,1170.626,0.974
716.000,1220.000,620.340,1234.359,0.974
256.000,602.000,38.815,616.445,0.973
1164.000,1284.000,1069.114,1299.855,0.973
1148.000,1356.000,1034.923,1373.257,0.973
400.000,794.000,216.788,810.517,0.973
616.000,818.000,478.861,835.538,0.973
1156.000,1044.000,1077.213,1059.076,0.973
336.000,578.000,135.619,595.565,0.973
1228.000,1196.000,1155.899,1211.096,0.973
448.000,818.000,273.098,833.402,0.973
1496.000,368.000,1472.937,383.696,0.973
988.000,1204.000,915.679,1218.670,0.973
1236.000,1236.000,1157.042,1251.815,0.973
1456.000,1260.000,1330.048,1274.422,0.973
368.000,786.000,174.706,802.980,0.972
